brand,name,address,city,state,zip_code,phone,website,dealer_type,distance_miles,search_zip,scrape_date
Ford,"Watertown Ford, Inc.","625 Pleasant Street Watertown, MA 02472",,,,(617) 518-4684,,Standard,4.17,02134,2026-01-30 13:48:38
Ford,Sentry Ford,"4100 Mystic Valley Parkway Medford, MA 02155",,,,(617) 410-8858,,Standard,4.31,02134,2026-01-30 13:48:38
Ford,"Bonnell Motors, Inc.","353 Cambridge Street Winchester, MA 01890",,,,(617) 420-2863,,Standard,7.32,02134,2026-01-30 13:48:38
Ford,McGovern Ford,"1481 Broadway Saugus, MA 01906",,,,(339) 338-4629,,Standard,8.96,02134,2026-01-30 13:48:38
Ford,Stoneham Motor Co Inc,"185 Main St Stoneham, MA 02180",,,,(617) 420-1693,,Standard,9.43,02134,2026-01-30 13:48:38
Ford,Quirk Ford,"540 Southern Artery Quincy, MA 02169",,,,(617) 752-1998,,Standard,9.91,02134,2026-01-30 13:48:38
Ford,Herb Chambers Ford Braintree,"75 Granite St Braintree, MA 02184",,,,(617) 752-3596,,Standard,10.21,02134,2026-01-30 13:48:38
Ford,Jack Madden Ford Sales Inc,"825 Providence Norwood, MA 02062",,,,(781) 269-6017,,Standard,11.98,02134,2026-01-30 13:48:38
Ford,Acton Ford Inc,"76 Powdermill Road, Route 62 Acton, MA 01720",,,,(978) 331-0148,,Standard,16.41,02134,2026-01-30 13:48:38
Ford,McGovern Ford of Framingham,"1200 Worcester Rd Framingham, MA 01702",,,,(877) 624-1344,,Standard,16.54,02134,2026-01-30 13:48:38
Ford,Danvers Motor Co Inc,"106 Sylvan St Danvers, MA 01923",,,,(978) 716-5977,,Standard,16.87,02134,2026-01-30 13:48:38
Ford,"Minuteman Trucks, Inc.","2181 Providence Highway Walpole, MA 02081",,,,(508) 668-3112,,Standard,2.,02134,2026-01-30 13:48:38
Ford,Rodman Ford Sales Inc,"45 Washington Street Foxboro, MA 02035",,,,(774) 300-3094,,Standard,18.98,02134,2026-01-30 13:48:38
Ford,McGovern Ford of Beverly,"420 Cabot Street Beverly, MA 01915",,,,(351) 223-4036,,Standard,19.11,02134,2026-01-30 13:48:38
Ford,Jannell Motors Inc,"2000 Washington Street, Route 53 Hanover, MA 02339",,,,(781) 610-3427,,Standard,20.04,02134,2026-01-30 13:48:38
Ford,Colonial Ford of Marlboro,"428 Maple Street Marlborough, MA 01752",,,,(508) 786-8061,,Standard,20.88,02134,2026-01-30 13:48:38
Ford,McGovern Ford at Drum Hill,"1212 Westford Road Lowell, MA 01851",,,,(978) 323-1058,,Standard,22.14,02134,2026-01-30 13:48:38
Ford,Franklin Ford,"175 East Central Street Franklin, MA 02038",,,,(774) 613-6160,,Standard,22.98,02134,2026-01-30 13:48:38
Ford,Gervais Inc,"5 Littleton Road Ayer, MA 01432",,,,(978) 588-1278,,Standard,26.24,02134,2026-01-30 13:48:38
Ford,Herb Chambers Ford Westborough,"310 Turnpike Road Westborough, MA 01581",,,,(774) 399-6078,,Standard,26.97,02134,2026-01-30 13:48:38
Ford,Imperial Ford,"8 Uxbridge Rd. Mendon, MA 01756",,,,(774) 448-2212,,Standard,27.96,02134,2026-01-30 13:48:38
Ford,Salem Ford,"60 South Broadway Salem, NH 03079",,,,(603) 685-3152,,Standard,29.58,02134,2026-01-30 13:48:38
Ford,Autofair Ford of Haverhill,"501 Broadway Haverhill, MA 01832",,,,(978) 361-1021,,Standard,29.76,02134,2026-01-30 13:48:38
Ford,Grieco Ford,"1651 New State Highway Raynham, MA 02767",,,,(774) 406-2873,,Standard,31.77,02134,2026-01-30 13:48:38
